Airport Code,AirportName,CityName,CountryName,CountryCode,Latitude,Longitude,World Area Code,,,
KPS,Kempsey,Kempsey,Australia,AU,31.066667,152.766667,802,,,
WEW,Wee Waa,Wee Waa,Australia,AU,-30.233333,149.433333,802,,,
WND,Windarra,Windarra,Australia,AU,-28.266667000000000,121.833333,802,,,
BXF,Belburn,Belburn,Australia,AU,64.233333,12.5,802,,,
FSL,Fossil Downs,Fossil Downs,Australia,AU,-18.2,125.75,802,,,
SHT,Shepparton,Shepparton,Australia,AU,-36.433333,145.4,802,,,
YLG,Yalgoo,Yalgoo,Australia,AU,-28.35,116.666667,802,,,
EIH,Einasleigh,Einasleigh,Australia,AU,-18.5,144.1,802,,,
XCO,Colac,Colac,Australia,AU,-38.333333,143.583333,802,,,
BOX,Borroloola,Borroloola,Australia,AU,-16.083333,136.3,802,,,
AGW,Agnew,Agnew,Australia,AU,-12.15,142.15,802,,,
JCK,Julia Creek,Julia Creek,Australia,AU,-20.583333,141.7,802,,,
ONR,Monkira,Monkira,Australia,AU,-24.816667,140.533333,802,,,
MBF,Mount Buffalo,Mount Buffalo,Australia,AU,-22.583333,149.466667,802,,,
SSP,Silver Plains,Silver Plains,Australia,AU,-13.983333,143.55,802,,,
LDW,Lansdowne,Lansdowne,Australia,AU,-17.583333,126.833333,802,,,
MRT,Moroak,Moroak,Australia,AU,-14.816667,133.7,802,,,
OPI,Oenpelli,Oenpelli,Australia,AU,-12.333333,133.083333,802,,,
HAP,Long Island,Long Island,Australia,AU,-19.166667,147.666667,802,,,
PLO,Port Lincoln,Port Lincoln,Australia,AU,-34.6,135.883333,802,,,
PTJ,Portland,Portland,Australia,AU,-38.383333,141.633333,802,,,
XMY,Yam Island,Yam Island,Australia,AU,-10.483333,142.45,802,,,
MKV,Mt Cavenagh,Mt Cavenagh,Australia,AU,-25.966667,133.2,802,,,
KYI,Yalata Mission,Yalata Mission,Australia,AU,-31.483333,131.866667,802,,,
LDH,Lord Howe Island,Lord Howe Island,Australia,AU,-31.516667000000000,159.05,802,,,
SWZ,Sydney West,Sydney,Australia,AU,-33.883333,150.716667,802,,,
HPE,Hope Vale,Hope Vale,Australia,AU,-14.666667,144.916667,802,,,
LHG,Lightning Ridge,Lightning Ridge,Australia,AU,-29.4,147.966667,802,,,
INM,Innamincka,Innamincka,Australia,AU,-27.833333,140.833333,802,,,
CWR,Cowarie,Cowarie,Australia,AU,-27.716667,138.333333,802,,,
CDQ,Croydon,Croydon,Australia,AU,-18.3,142.25,802,,,
MCY,Maroochydore,Sunshine Coast,Australia,AU,-26.603333,153.091111,802,,,
KYB,Yangoonabie,Yangoonabie,Australia,AU,-31.466667,130.066667,802,,,
BMP,Brampton Island,Brampton Island,Australia,AU,-20.783333,149.233333,802,,,
SHU,Smith Point,Smith Point,Australia,AU,-11.166667,133.833333,802,,,
DXD,Dixie,Dixie,Australia,AU,-15.166667,143.666667,802,,,
DRN,Dirranbandi,Dirranbandi,Australia,AU,-28.5,148.258333,802,,,
GLG,Glengyle,Glengyle,Australia,AU,-24.766667000000000,139.583333,802,,,
GDD,Gordon Downs,Gordon Downs,Australia,AU,-18.833333,128.533333,802,,,
RMA,Roma,Roma,Australia,AU,-26.55,148.766667,802,,,
HRY,Henbury,Henbury,Australia,AU,-24.666667,133.083333,802,,,
BWB,Barrow Island,Barrow Island,Australia,AU,-20.8,115.383333,802,,,
CGV,Caiguna,Caiguna,Australia,AU,-32.266667,125.466667,802,,,
JHQ,Shute Harbour H/P,Shute Harbour,Australia,AU,-20.283333,148.75,802,,,
COJ,Coonabarabran,Coonabarabran,Australia,AU,-31.333333,149.266667,802,,,
WLO,Waterloo,Waterloo,Australia,AU,-16.633333,129.316667,802,,,
MLR,Millicent,Millicent,Australia,AU,-37.633333,140.583333,802,,,
ABH,Alpha,Alpha,Australia,AU,-23.7,146.583333,802,,,
MSF,Mount Swan,Mount Swan,Australia,AU,-22.666667,134.916667,802,,,
ULP,Quilpie,Quilpie,Australia,AU,-26.633333,144.3,802,,,
CVC,Cleve,Cleve,Australia,AU,-33.7,136.5,802,,,
CUG,Cudal,Cudal,Australia,AU,-33.3,148.702778,802,,,
TGN,La Trobe Regional,Traralgon,Australia,AU,-38.183333,146.533333,802,,,
KGY,Kingaroy,"Kingaroy, Queensland",Australia,AU,-26.580833,151.841111,802,,,
FLC,Falls Creek,Falls Creek,Australia,AU,-34.983333,150.6,802,,,
HIS,Hayman Island,Hayman Island,Australia,AU,-20.066667,148.866667,802,,,
BVI,Birdsville,"Birdsville, Queensland",Australia,AU,-25.8975,139.3475,802,,,
BDB,Bundaberg,Bundaberg,Australia,AU,-24.903889,152.318611,802,,,
MBB,Marble Bar,Marble Bar,Australia,AU,-21.25,119.583333,802,,,
TMW,Tamworth Regional Airport,Tamworth,Australia,AU,-31.068611,150.845556,802,,,
TPR,Tom Price,Tom Price,Australia,AU,22.65,106.066667,802,,,
UIR,Quirindi,Quirindi,Australia,AU,-31.490556,150.513889,802,,,
WYN,Wyndham,Wyndham,Australia,AU,-15.516667,128.15,802,,,
CUD,Caloundra,Caloundra,Australia,AU,-26.8,153.15,802,,,
PER,Perth International,Perth,Australia,AU,-31.940278,115.966944,802,,,
DGD,Dalgaranga,Dalgaranga,Australia,AU,-27.766667000000000,117.033333,802,,,
GYP,Gympie,Gympie,Australia,AU,-26.283333,152.7,802,,,
MNG,Maningrida,Maningrida,Australia,AU,-12.05,134.216667,802,,,
BDW,Bedford Downs,Bedford Downs,Australia,AU,-17.3,127.466667,802,,,
SYD,Kingsford Smith,Sydney,Australia,AU,-33.946111,151.177222,802,,,
GLM,Glenormiston,Glenormiston,Australia,AU,-22.283333,138.316667,802,,,
GUH,Gunnedah,Gunnedah,Australia,AU,-30.95,150.233333,802,,,
EVH,Evans Head,Evans Head,Australia,AU,-29.1,153.416667,802,,,
KDB,Kambalda,Kambalda,Australia,AU,-31.2,121.666667,802,,,
CYG,Corryong,Corryong,Australia,AU,-36.25,147.9,802,,,
LLG,Chillagoe,Chillagoe,Australia,AU,-17.133333,144.533333,802,,,
SIX,Singleton,Singleton,Australia,AU,-32.566667,151.166667,802,,,
KGI,Kalgoorlie,Kalgoorlie,Australia,AU,-30.789444,121.461667,802,,,
AYR,Ayr,Ayr,Australia,AU,-19.666667,147.366667,802,,,
HIP,Headingly,Headingly,Australia,AU,-21.316667,138.3,802,,,
AUU,Aurukun Mission,Aurukun Mission,Australia,AU,-13.353889,141.720833,802,,,
LLT,Lilydale Airport,Lilydale,Australia,AU,-37.691667,145.366667,61,,,
OKB,Fraser Island,Orchid Beach,Australia,AU,-25.0,153.283333,802,,,
DLV,Delissaville,Delissaville,Australia,AU,-12.416667,130.341667,802,,,
OOM,Cooma,Cooma,Australia,AU,-36.3,148.966667,802,,,
GLY,Goldsworthy,Goldsworthy,Australia,AU,-20.083333,119.666667,802,,,
DRR,Durrie,Durrie,Australia,AU,-25.6,140.25,802,,,
ASP,Alice Springs,Alice Springs,Australia,AU,-23.8,133.883333,802,,,
MQL,Mildura,Mildura,Australia,AU,-34.233333,142.083333,802,,,
BEE,Beagle Bay,Beagle Bay,Australia,AU,-12.983333,141.6,802,,,
EDR,Edward River,Edward River,Australia,AU,-14.9,141.616667,802,,,
KGC,Kingscote,Kingscote,Australia,AU,-35.713889,137.521389,802,,,
FVR,Forrest River Airport,Forrest River,Australia,AU,-15.3,128.066667,802,,,
BDD,Badu Island,Badu Island,Australia,AU,-10.116667,142.133333,802,,,
BRJ,Bright,Bright,Australia,AU,-36.733333,146.966667,802,,,
BUC,Burketown,Burketown,Australia,AU,-17.75,139.533333,802,,,
KSV,Springvale,Springvale,Australia,AU,-23.666667,140.75,802,,,
YUE,Yuendumu,Yuendumu,Australia,AU,-22.266667000000000,131.783333,802,,,
FOT,Forster,Forster,Australia,AU,32.183333,152.516667,802,,,
PBO,Paraburdoo,Paraburdoo,Australia,AU,-23.233333,117.516667,802,,,
BWU,Sydney Bankstown,Sydney,Australia,AU,-33.916667,150.983333,802,,,
WBA,Wahai,Wahai,Australia,AU,-10.3,142.683333,802,,,
MEL,Tullamarine,Melbourne,Australia,AU,-37.673333,144.843333,802,,,
DDN,Delta Downs,Delta Downs,Australia,AU,-16.916667,141.3,802,,,
LRE,Longreach,Longreach,Australia,AU,-23.433333,144.266667,802,,,
MBN,Mt Barnett,Mt Barnett,Australia,AU,-16.666667,125.95,802,,,
TRO,Taree,Taree,Australia,AU,-31.9,152.466667,802,,,
AYQ,Connellan,Ayers Rock,Australia,AU,-25.333333,131.033333,802,,,
AMX,Ammaroo,Ammaroo,Australia,AU,-21.74,135.24,802,,,
LEA,Learmonth,Learmonth,Australia,AU,-22.233333,114.1,802,,,
TKY,Turkey Creek,Turkey Creek,Australia,AU,-30.333333,142.75,802,,,
DRD,Dorunda Station,Dorunda Station,Australia,AU,-16.516667000000000,142.366667,802,,,
MRP,Marla,Marla,Australia,AU,-27.033333,133.116667,802,,,
DKI,Dunk Island,Dunk Island,Australia,AU,-17.933333,146.166667,802,,,
GAH,Gayndah,Gayndah,Australia,AU,-25.616667,151.616667,802,,,
CNB,Coonamble,Coonamble,Australia,AU,-30.983333,148.383333,802,,,
HIG,Highbury,Highbury,Australia,AU,-16.433333,143.15,802,,,
CBR,Canberra,Canberra,Australia,AU,-35.306944,149.195,802,,,
OOR,Mooraberree,Mooraberree,Australia,AU,-25.245,140.980833,802,,,
GOS,Gosford,Gosford,Australia,AU,-33.433333,151.35,802,,,
BNE,Brisbane International,Brisbane,Australia,AU,-27.383333,153.116667,802,,,
MIZ,Mainoru,Mainoru,Australia,AU,-14.3,134.083333,802,,,
NAA,Narrabri,Narrabri,Australia,AU,-30.333333,149.833333,802,,,
COB,Coolibah,Coolibah,Australia,AU,-15.666667,130.966667,802,,,
ONG,Mornington,Mornington,Australia,AU,-16.583333,139.3,802,,,
GEX,Geelong,Geelong,Australia,AU,-38.133333,144.35,802,,,
ECH,Echuca,Echuca,Australia,AU,-36.15,144.75,802,,,
NTN,Normanton,Normanton,Australia,AU,-17.7,141.066667,802,,,
SIO,Smithton,Smithton,Australia,AU,-40.916667,145.016667,802,,,
NOA,Nowra,Nowra,Australia,AU,-34.933333,150.566667,802,,,
LTV,Lotusvale,Lotusvale,Australia,AU,-17.083333,141.366667,802,,,
CWW,Corowa,Corowa,Australia,AU,-35.983333,146.35,802,,,
DNM,Denham,Denham,Australia,AU,-25.916667,113.533333,802,,,
GFE,Grenfell,Grenfell,Australia,AU,-33.9,148.166667,802,,,
HMG,Hermannsburg,Hermannsburg,Australia,AU,-23.966667,132.666667,802,,,
MOO,Moomba,Moomba,Australia,AU,-28.133333,140.233333,802,,,
NSM,Norseman,Norseman,Australia,AU,-32.2,121.75,802,,,
CIE,Collie,Collie,Australia,AU,-33.35,116.15,802,,,
GIC,Boigu Island,Boigu Island,Australia,AU,-9.266667,142.2,802,,,
PEP,Peppimenarti,Peppimenarti,Australia,AU,-14.15,130.1,802,,,
RLP,Rosella Plains,Rosella Plains,Australia,AU,-18.433333,144.466667,802,,,
MNW,Macdonald Downs,Macdonald Downs,Australia,AU,-22.5,135.166667,802,,,
MKR,Meekatharra,Meekatharra,Australia,AU,-26.6,118.55,802,,,
HLT,Hamilton,Hamilton,Australia,AU,-37.65,142.066667,802,,,
ORR,Yorketown,Yorketown,Australia,AU,-35.033333,137.6,802,,,
DYM,Diamantina Lakes,Diamantina Lakes,Australia,AU,-23.866667,141.25,802,,,
BCK,Bolwarra,Bolwarra,Australia,AU,-17.4,144.166667,802,,,
GTT,Georgetown,Georgetown,Australia,AU,-18.416667,143.783333,802,,,
BZD,Balranald,Balranald,Australia,AU,-34.633333,143.55,802,,,
CTN,Cooktown,Cooktown,Australia,AU,-15.45,145.183333,802,,,
GKL,Great Keppel Island,Great Keppel Island,Australia,AU,-23.183333,150.95,802,,,
BME,Broome,"Broome, Western Australia",Australia,AU,-17.944722,122.231667,802,,,
DVP,Davenport Downs,Davenport Downs,Australia,AU,-24.166667,141.083333,802,,,
WLA,Wallal,Wallal,Australia,AU,-19.766667000000000,120.65,802,,,
CXT,Charters Towers,Charters Towers,Australia,AU,-20.05,146.266667,802,,,
BZP,Bizant,Bizant,Australia,AU,-15.216667,144.633333,802,,,
AMT,Amata,Amata,Australia,AU,-26.2,131.116667,802,,,
MEB,Essendon,Melbourne,Australia,AU,-37.7,144.866667,802,,,
RTY,Merty,Merty,Australia,AU,-29.0,138.733333,802,,,
VNR,Vanrook,Vanrook,Australia,AU,-16.866667,141.916667,802,,,
UTB,Muttaburra,Muttaburra,Australia,AU,-22.588056,144.526667,802,,,
NMP,New Moon,New Moon,Australia,AU,-20.166667,143.966667,802,,,
PDE,Pandie Pandie,Pandie Pandie,Australia,AU,-26.133333,139.383333,802,,,
MWT,Moolawatana,Moolawatana,Australia,AU,-29.916667,139.716667,802,,,
BIW,Billiluna,Billiluna,Australia,AU,-19.583333,127.633333,802,,,
HNK,Hinchinbrook Island,Hinchinbrook Island,Australia,AU,-18.383333,146.283333,802,,,
MXQ,Mitchell River,Mitchell River,Australia,AU,-15.666667,141.8,802,,,
WHL,Welshpool,Welshpool,Australia,AU,-38.688889,146.45,802,,,
ABM,Bamaga Injinoo,"Bamaga, Queensland",Australia,AU,-10.950833,142.459444,802,,,
NSV,Noosaville,Noosaville,Australia,AU,-26.4,153.066667,802,,,
ROH,Robinhood,Robinhood,Australia,AU,-18.85,143.7,802,,,
KAX,Kalbarri,Kalbarri,Australia,AU,-27.866667,114.133333,802,,,
GYL,Argyle,Argyle,Australia,AU,-16.640833,128.45,802,,,
WNR,Windorah,Windorah,Australia,AU,-25.416667,142.666667,802,,,
DDI,Daydream Is,Daydream Is,Australia,AU,-20.166667,148.183333,802,,,
THG,Thangool,Thangool,Australia,AU,-24.493889,150.576111,802,,,
GTE,Alyangula,Groote Eylandt,Australia,AU,-14.0,136.5,802,,,
CLH,Coolah,Coolah,Australia,AU,-31.833333,149.7,802,,,
WAV,Kalkgurung,Wave Hill,Australia,AU,-17.65,130.883333,802,,,
WYA,Whyalla,Whyalla,Australia,AU,-33.05,137.516667,802,,,
TDN,Theda Station,Theda,Australia,AU,38.086389,27.737778,802,,,
BHQ,Broken Hill,Broken Hill,Australia,AU,-32.0,141.466667,802,,,
CBY,Canobie,Canobie,Australia,AU,-19.633333,140.916667,802,,,
OKY,Oakey,Oakey,Australia,AU,-27.402778,151.733333,802,,,
WMB,Warrnambool,Warrnambool,Australia,AU,-38.283333,142.45,802,,,
RBC,Robinvale,Robinvale,Australia,AU,-34.65,142.783333,802,,,
MBW,Moorabbin,Mentone,Australia,AU,-37.975833,145.102222,802,,,
NRY,Newry,Newry,Australia,AU,-16.083333,129.341667,802,,,
WLL,Wollogorang,Wollogorang,Australia,AU,-17.216667,137.916667,802,,,
YNN,Yandi,Yandicoogina,Australia,AU,-21.416667,120.166667,802,,,
CRH,Cherribah,Cherribah,Australia,AU,-27.65,151.95,802,,,
NUR,Nullarbor,Nullarbor,Australia,AU,-31.433333,130.916667,802,,,
MJK,Shark Bay,Monkey Mia,Australia,AU,-25.8,113.716667,802,,,
ADO,Andamooka,Andamooka,Australia,AU,-30.437778,137.137222,802,,,
BKQ,Blackall,Blackall,Australia,AU,-24.416667,145.416667,802,,,
CAZ,Cobar,Cobar,Australia,AU,-31.533333,145.8,802,,,
GOO,Goondiwindi,Goondiwindi,Australia,AU,-28.521389,150.320278,802,,,
ISA,Mount Isa,Mount Isa,Australia,AU,-20.666667,139.466667,802,,,
PEY,Penong,Penong,Australia,AU,-31.916667,133.016667,802,,,
ANZ,Angus Downs,Angus Downs,Australia,AU,-25.083333,132.166667,802,,,
HVB,Hervey Bay,Hervey Bay,Australia,AU,-25.0,153.0,802,,,
MQA,Mandora,Mandora,Australia,AU,-19.833333,120.833333,802,,,
WEI,Weipa,Weipa,Australia,AU,-12.678333,141.925,802,,,
DPO,Devonport,Devonport,Australia,AU,-41.166667,146.416667,802,,,
GLT,Gladstone,Gladstone,Australia,AU,-23.8,151.25,802,,,
TSV,Townsville International,Townsville,Australia,AU,-19.2525,146.765278,802,,,
HOK,Hooker Creek,Hooker Creek,Australia,AU,-18.366667,130.666667,802,,,
KCS,Kings Creek Station,Kings Creek Station,Australia,AU,24.383333,131.683333,802,,,
COY,Coolawanyah,Coolawanyah,Australia,AU,-21.8,117.766667,802,,,
HGD,Hughenden,Hughenden,Australia,AU,-20.833333,144.2,802,,,
MUP,Mulga Park,Mulga Park,Australia,AU,-25.85,131.6,802,,,
ABG,Abingdon,Abingdon,Australia,AU,-17.666667,143.2,802,,,
TCW,Tocumwal,Tocumwal,Australia,AU,-35.816667,145.566667,802,,,
RHL,Roy Hill,Roy Hill,Australia,AU,-22.633333,119.966667,802,,,
CBC,Cherrabun,Cherrabun,Australia,AU,-18.666667,125.366667,802,,,
PRD,Pardoo,Pardoo,Australia,AU,-20.133333,119.583333,802,,,
LBH,Palm Beach SPB,Sydney,Australia,AU,33.966667,151.25,802,,,
AVV,Avalon,Geelong,Australia,AU,-38.033333,144.466667,802,,,
LOC,Lock,Lock,Australia,AU,-33.566667,135.766667,802,,,
NBH,Nambucca Heads,Nambucca Heads,Australia,AU,-30.65,153.0,802,,,
BLS,Bollon,Bollon,Australia,AU,-28.033333,147.366667,802,,,
WME,Mount Keith,Mount Keith,Australia,AU,-27.286389,120.554722,802,,,
WIT,Wittenoom,Wittenoom,Australia,AU,-22.266667000000000,118.333333,802,,,
GBV,Gibb River,Gibb River,Australia,AU,-16.333333,126.366667,802,,,
MQE,Marqua,Marqua,Australia,AU,-22.816667,137.35,802,,,
EUC,Eucla,Eucla,Australia,AU,-31.716667,128.866667,802,,,
BEU,Bedourie,Bedourie,Australia,AU,-24.333333,139.366667,802,,,
ROK,Rockhampton,Rockhampton,Australia,AU,-23.381944,150.475278,802,,,
WON,Wondoola,Wondoola,Australia,AU,-18.666667,140.916667,802,,,
DGE,Mudgee,Mudgee,Australia,AU,-32.783333,149.166667,802,,,
WUD,Wudinna,Wudinna,Australia,AU,-33.016667,135.619444,802,,,
DNQ,Deniliquin,Deniliquin,Australia,AU,-35.55,144.95,802,,,
MHO,Mount House,Mount House,Australia,AU,-17.166667,125.666667,802,,,
MJP,Manjimup,Manjimup,Australia,AU,-34.233333,116.15,802,,,
BQW,Balgo Hills,Balgo Hills,Australia,AU,-20.133333,127.8,802,,,
CNC,Coconut Island,Coconut Island,Australia,AU,-10.05,143.066667,802,,,
DAJ,Dauan Island,Dauan Island,Australia,AU,-9.433333,142.516667,802,,,
WAZ,Warwick,Warwick,Australia,AU,-28.15,151.95,802,,,
BLT,Blackwater,Blackwater,Australia,AU,-23.583333,148.883333,802,,,
ODL,Cordillo Downs,Cordillo Downs,Australia,AU,-26.833333,140.75,802,,,
FLS,Flinders Island,Flinders Island,Australia,AU,-40.083333,148.0,802,,,
MTD,Mt Sandford,Mt Sandford,Australia,AU,-16.983333,130.55,802,,,
CFI,Camfield,Camfield,Australia,AU,-17.15,131.35,802,,,
DBY,Dalby,Dalby,Australia,AU,-27.155278,151.267222,802,,,
NKB,Noonkanbah,Noonkanbah,Australia,AU,-18.5,124.833333,802,,,
LWH,Lawn Hill,Lawn Hill,Australia,AU,-18.633333,138.633333,802,,,
JUR,Jurien Bay,Jurien Bay,Australia,AUS,-30.269722,115.05,802,,,
SSK,Sturt Creek,Sturt Creek,Australia,AU,-19.333333,128.133333,802,,,
BNK,Ballina Byron Gateway,Ballina,Australia,AU,-28.868889,153.5625,802,,,
MKY,Mackay,Mackay,Australia,AU,-21.166667,149.183333,802,,,
XML,Minlaton,Minlaton,Australia,AU,-34.766667,137.6,802,,,
NRG,Narrogin,Narrogin,Australia,AU,-32.933333,117.166667,802,,,
CPD,Coober Pedy,Coober Pedy,Australia,AU,-29.05,134.75,802,,,
IGH,Ingham,Ingham,Australia,AU,-18.8,146.1,802,,,
LZR,Lizard Island,Lizard Island,Australia,AU,-14.666667,145.466667,802,,,
FRB,Forbes,Forbes,Australia,AU,-33.383333,148.016667,802,,,
NLL,Nullagine,Nullagine,Australia,AU,-21.75,120.2,802,,,
DHD,Durham Downs,Durham Downs,Australia,AU,-27.066667,141.916667,802,,,
RBU,Roebourne,Roebourne,Australia,AU,-20.766667000000000,117.15,802,,,
SHQ,Southport,Southport,Australia,AU,-27.951944,153.417778,802,,,
DNG,Doongan,Doongan,Australia,AU,13.662778,122.3275,802,,,
MIN,Minnipa,Minnipa,Australia,AU,-32.833333,135.133333,802,,,
GBP,Gamboola,Gamboola,Australia,AU,-16.55,143.666667,802,,,
MHU,Mount Hotham,Mount Hotham,Australia,AU,-37.166667,146.166667,802,,,
LTP,Lyndhurst,Lyndhurst,Australia,AU,-19.2,144.383333,802,,,
KKP,Koolburra,Koolburra,Australia,AU,-15.583333,143.95,802,,,
GET,Geraldton,Geraldton,Australia,AU,-28.783333,114.7,802,,,
GFF,Griffith,Griffith,Australia,AU,-34.25,146.066667,802,,,
PKT,Port Keats,Port Keats,Australia,AU,-14.25,129.533333,802,,,
HIH,Hook Island,Hook Island,Australia,AU,-20.166667,148.95,802,,,
INJ,Injune,Injune,Australia,AU,-25.85,148.55,802,,,
FLY,Finley,Finley,Australia,AU,-35.65,145.583333,802,,,
BRT,Bathurst Island,Bathurst Island,Australia,AU,-11.766667,130.633333,802,,,
LUT,Laura Station,Laura Station,Australia,AU,-15.433333,144.816667,802,,,
GSN,Mount Gunson,Mount Gunson,Australia,AU,-31.866667,138.2,802,,,
KML,Kamileroi,Kamileroi,Australia,AU,-19.5,140.083333,802,,,
BXG,Bendigo,Bendigo,Australia,AU,-36.739444,144.329722,802,,,
GBL,Goulburn Island,Goulburn Island,Australia,AU,-11.666667,133.416667,802,,,
UEE,Queenstown,Queenstown,Australia,AU,-42.0,145.508333,802,,,
BKP,Barkly Downs,Barkly Downs,Australia,AU,-21.033333,138.25,802,,,
ARY,Ararat,Ararat,Australia,AU,-37.309444,142.988611,802,,,
SWH,Swan Hill,Swan Hill,Australia,AU,-35.383333,143.55,802,,,
EMD,Emerald,Emerald,Australia,AU,-23.633333,148.133333,802,,,
RPV,Roper Valley,Roper Valley,Australia,AU,-15.033333,134.033333,802,,,
MTL,Maitland,Maitland,Australia,AU,-32.733333,151.55,802,,,
MYA,Moruya,Moruya,Australia,AU,-35.9,150.133333,802,,,
IRG,Lockhart River,Lockhart River,Australia,AU,-12.783333,143.3,802,,,
EVD,Eva Downs,Eva Downs,Australia,AU,-18.083333,134.866667,802,,,
RKY,Rokeby,Rokeby,Australia,AU,-13.65,142.616667,802,,,
XMC,Mallacoota,Mallacoota,Australia,AU,-37.6,149.716667,802,,,
CML,Camooweal,Camooweal,Australia,AU,-19.916667,138.133333,802,,,
NBR,Nambour,Nambour,Australia,AU,-26.633333,152.95,802,,,
XTG,Thargomindah,Thargomindah,Australia,AU,-28.0,143.816667,802,,,
AYL,Anthony Lagoon,Anthony Lagoon,Australia,AU,-18.016667,135.55,802,,,
LDC,Lindeman Island,Lindeman Island,Australia,AU,-20.45,149.05,802,,,
SFP,Surfers Paradise,Surfers Paradise,Australia,AU,-28.0,153.433333,802,,,
SXE,Sale,Sale,Australia,AU,-38.083333,146.966667,802,,,
MXD,Marion Downs,Marion Downs,Australia,AU,-23.5,139.666667,802,,,
SGO,St George,St George,Australia,AU,-28.083333,148.75,802,,,
DMD,Doomadgee,Doomadgee,Australia,AU,-18.0,138.833333,802,,,
ALH,Albany,Albany,Australia,AU,-34.95,117.8,802,,,
IVR,Inverell,Inverell,Australia,AU,-29.833333,151.533333,802,,,
KPP,Kalpowar,Kalpowar,Australia,AU,-14.883333,144.216667,802,,,
NSA,Noosa,Noosa,Australia,AU,26.25,153.166667,802,,,
TWB,Toowoomba,Toowoomba,Australia,AU,-27.542778,151.916389,802,,,
DYW,Daly Waters,Daly Waters,Australia,AU,-16.266667000000000,133.366667,802,,,
OXO,Orientos,Orientos,Australia,AU,-28.133333,141.533333,802,,,
ODD,Oodnadatta,Oodnadatta,Australia,AU,-27.55,135.433333,802,,,
CNS,Cairns,Cairns,Australia,AU,-16.883333,145.75,802,,,
OYN,Ouyen,Ouyen,Australia,AU,-32.066667,142.333333,802,,,